date,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,methane
2025-01-01 21:00:00+00:00,28.135999999999985,22.521999999999995,333.57345052132877,481.4904849603073,45.71500000000002,23.63228422838428,10.86,0.15129931490666768,0.6691320920686096,0.5606567446254525,0.7334018426648705,1737.7655003070809
2025-01-01 22:00:00+00:00,28.54999999999999,22.580999999999996,333.4354701455671,481.4904849603073,44.89500000000001,23.646284228384275,9.83,0.15129931490666768,0.6691320920686096,0.5606567446254525,0.7334018426648705,1737.7655003070809
2025-01-01 23:00:00+00:00,29.33499999999999,22.63799999999999,331.80946033344793,481.4904849603073,44.51799999999999,23.646284228384275,9.96,0.15129931490666768,0.6691320920686096,0.5606567446254525,0.7334018426648705,1737.7655003070809
2025-01-02 00:00:00+00:00,26.485999999999986,22.273999999999997,334.35734258801773,481.4904849603073,42.80899999999999,23.81945130679164,8.58,0.15129931490667067,0.5291320920686098,0.560656744625457,0.7334018426648654,1737.7655003070809
2025-01-02 01:00:00+00:00,26.547999999999988,22.263999999999996,334.8173425880177,481.4904849603073,42.94199999999998,23.81945130679164,8.14,0.15129931490667003,0.5291320920686098,0.5606567446254556,0.7334018426648654,1737.7655003070809
2025-01-02 02:00:00+00:00,26.73899999999999,22.209999999999994,335.08335240013685,481.4904849603073,43.59299999999998,23.81945130679164,8.21,0.15129931490667045,0.52913209206861,0.560656744625455,0.7334018426648669,1737.7655003070809
2025-01-02 03:00:00+00:00,26.276999999999994,21.986,338.0173916486134,481.4904849603073,43.96299999999999,23.81945130679164,8.19,0.1512993149066706,0.5291320920686098,0.5606567446254539,0.7334018426648686,1737.7655003070809
2025-01-02 04:00:00+00:00,26.293999999999993,21.736000000000004,338.6412837153034,481.4904849603073,45.330999999999975,23.81945130679164,8.08,0.15129931490666956,0.5291320920686098,0.560656744625453,0.7334018426648705,1737.7655003070809
2025-01-02 05:00:00+00:00,26.498999999999988,21.625999999999998,337.4071954062311,481.4904849603073,48.13399999999999,23.81945130679164,7.66,0.15129931490666926,0.5291320920686098,0.560656744625453,0.7334018426648705,1737.7655003070809
2025-01-02 06:00:00+00:00,26.556999999999988,21.682000000000002,336.64315615775456,481.4904849603073,48.314000000000014,23.81945130679164,7.96,0.15129931490666843,0.5291320920686097,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 07:00:00+00:00,26.610999999999986,21.564,336.86113653351623,481.4904849603073,44.32300000000002,23.81945130679163,9.05,0.15129931490666845,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 08:00:00+00:00,26.710999999999984,21.353000000000005,336.3851267213971,481.4904849603073,42.515000000000015,23.81945130679163,14.96,0.15129931490666784,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 09:00:00+00:00,26.683999999999983,21.439,338.3831070971588,481.4904849603073,40.77800000000002,23.81945130679163,18.1,0.15129931490666784,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 10:00:00+00:00,26.749999999999982,21.717999999999996,339.15911690927794,481.4904849603073,41.100000000000016,23.81945130679163,18.81,0.15129931490666748,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 11:00:00+00:00,26.71999999999998,21.793000000000003,337.4431070971588,481.4904849603073,41.803000000000004,23.81945130679163,18.47,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 12:00:00+00:00,26.76199999999998,21.670000000000005,337.4431070971588,481.4904849603073,45.274999999999984,23.81945130679163,17.77,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 13:00:00+00:00,26.73599999999998,21.208000000000006,337.8011365335162,481.4904849603073,50.213999999999984,23.819451306791656,13.92,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 14:00:00+00:00,26.74299999999998,20.461,338.79916596987374,481.4904849603073,53.50299999999999,24.319700689180483,11.37,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 15:00:00+00:00,26.724999999999977,19.948,337.1852739031843,481.4904849603073,52.798999999999985,24.502728123840924,10.58,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 16:00:00+00:00,26.680999999999976,19.982000000000003,336.2714308970907,481.4904849603073,52.108999999999995,24.45692263690885,9.52,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 17:00:00+00:00,26.803999999999977,20.356,336.4274897698056,481.4904849603073,53.157999999999994,24.53192263690884,9.29,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 18:00:00+00:00,26.800999999999977,20.297000000000004,335.7554701455672,481.4904849603073,52.076,24.5215061761126,9.71,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 19:00:00+00:00,26.723999999999982,20.979,334.96147995768627,481.4904849603073,50.39500000000001,24.134284228384267,9.23,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 20:00:00+00:00,26.944999999999986,21.619,333.3754701455671,481.4904849603073,48.37300000000002,23.599478741452195,9.1,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 21:00:00+00:00,26.988999999999987,22.164999999999996,333.15345052132875,481.4904849603073,46.39500000000001,23.63228422838428,8.99,0.15129931490666737,0.6691320920686096,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 22:00:00+00:00,27.32099999999999,22.237999999999992,333.01547014556706,481.4904849603073,45.87900000000001,23.646284228384275,8.7,0.15129931490666737,0.6691320920686096,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-02 23:00:00+00:00,27.859999999999996,22.23399999999999,331.3894603334479,481.4904849603073,45.51699999999998,23.74208971531636,8.99,0.15129931490666737,0.6691320920686096,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 00:00:00+00:00,25.828999999999972,22.207000000000004,335.0153229637794,481.4904849603073,43.32699999999999,23.81945130679164,8.85,0.15129931490667067,0.5291320920686098,0.560656744625457,0.7334018426648654,1737.7655003070809
2025-01-03 01:00:00+00:00,25.955999999999975,22.197000000000003,335.4753229637794,481.4904849603073,43.49599999999999,23.81945130679164,8.38,0.15129931490667003,0.5291320920686098,0.5606567446254556,0.7334018426648654,1737.7655003070809
2025-01-03 02:00:00+00:00,26.24699999999998,22.194999999999997,335.53734258801774,481.4904849603073,43.91299999999999,23.81945130679164,8.43,0.15129931490667045,0.52913209206861,0.560656744625455,0.7334018426648669,1737.7655003070809
2025-01-03 03:00:00+00:00,25.84699999999998,21.986000000000004,337.65340146073265,481.4904849603073,44.48699999999999,23.81945130679164,8.46,0.1512993149066706,0.5291320920686098,0.5606567446254539,0.7334018426648686,1737.7655003070809
2025-01-03 04:00:00+00:00,25.88799999999998,21.789,338.0812837153035,481.4904849603073,45.380999999999986,23.81945130679164,8.3,0.15129931490666956,0.5291320920686098,0.560656744625453,0.7334018426648705,1737.7655003070809
2025-01-03 05:00:00+00:00,26.017999999999976,21.698,337.131185594112,481.4904849603073,47.48400000000001,23.81945130679164,7.84,0.15129931490666926,0.5291320920686098,0.560656744625453,0.7334018426648705,1737.7655003070809
2025-01-03 06:00:00+00:00,26.078999999999972,21.862000000000002,336.3631561577546,481.4904849603073,47.57600000000002,23.81945130679164,7.77,0.15129931490666843,0.5291320920686097,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 07:00:00+00:00,26.00899999999998,21.741999999999997,336.6211365335163,481.4904849603073,43.53300000000003,23.81945130679163,8.91,0.15129931490666845,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 08:00:00+00:00,26.13799999999998,21.54200000000001,335.84911690927794,481.4904849603073,42.68500000000001,23.81945130679163,14.61,0.15129931490666784,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 09:00:00+00:00,26.08299999999998,21.587000000000003,337.84709728503964,481.4904849603073,41.206,23.81945130679163,18.06,0.15129931490666784,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 10:00:00+00:00,26.164999999999978,21.95,338.8031070971588,481.4904849603073,41.53,23.81945130679163,18.97,0.15129931490666748,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 11:00:00+00:00,26.15999999999997,21.998,337.08709728503965,481.4904849603073,42.020999999999994,23.81945130679163,18.72,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 12:00:00+00:00,26.195999999999973,21.924,337.08709728503965,481.4904849603073,45.647999999999975,23.81945130679163,17.84,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
2025-01-03 13:00:00+00:00,26.189999999999973,21.510000000000005,337.0931070971588,481.4904849603073,50.175,23.819451306791656,14.06,0.15129931490666737,0.5291320920686098,0.5606567446254515,0.7334018426648705,1737.7655003070809
